Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-medes.ruler1,Arbaces,1,"Medis regnavit ARBACES, annis XXVIII."
urn:cite:chron:j-medes.ruler2,Sosarmus,2,"Medorum II, SOSARMUS, annis XXX."
urn:cite:chron:j-medes.ruler3,Medidus,3,"Medorum III, MEDIDUS, annis XL."
urn:cite:chron:j-medes.ruler4,Cardiceas,4,"Medorum IV, CARDICEAS, annis XIII"
urn:cite:chron:j-medes.ruler5,Diocles,5,"Medorum V, DIOCLES, annis LIV."
urn:cite:chron:j-medes.ruler6,Phraortes,6,"Medorum VI, PHRAORTES, annis XXIV"
urn:cite:chron:j-medes.ruler7,Cyaxares,7,"Medorum VII, CYAXARES, annis XXXII."
urn:cite:chron:j-medes.ruler8,Astyages,8,"Medorum VIII, ASTYAGES, annis XXXVIII."
