Psg,Archon,Label,Reference,YrsFromEpoch
urn:cite:chron:pmarch.52,urn:cite:chron:archon.113,Apollodorus,urn:cts:chronepig:chron.pm.hc:b.12,55
urn:cite:chron:pmarch.53,urn:cite:chron:archon.114,Demogenes,urn:cts:chronepig:chron.pm.hc:b.13,53
urn:cite:chron:pmarch.54,urn:cite:chron:archon.115,Democleid[es],urn:cts:chronepig:chron.pm.hc:b.14,52
urn:cite:chron:pmarch.55,urn:cite:chron:archon.116,Theophrastus,urn:cts:chronepig:chron.pm.hc:b.15,49
urn:cite:chron:pmarch.56,urn:cite:chron:archon.117,Po[lem]on,urn:cts:chronepig:chron.pm.hc:b.16,48
urn:cite:chron:pmarch.57,urn:cite:chron:archon.118,Si[moni]des,urn:cts:chronepig:chron.pm.hc:b.17,47
urn:cite:chron:pmarch.58,urn:cite:chron:archon.119,Hieromnemon,urn:cts:chronepig:chron.pm.hc:b.18,46
urn:cite:chron:pmarch.59,urn:cite:chron:archon.120,[D]emetrius,urn:cts:chronepig:chron.pm.hc:b.19,45
urn:cite:chron:pmarch.60,urn:cite:chron:archon.121,Cairimus,urn:cts:chronepig:chron.pm.hc:b.20,44
urn:cite:chron:pmarch.61,urn:cite:chron:archon.122,Anaxicrates,urn:cts:chronepig:chron.pm.hc:b.21,43
urn:cite:chron:pmarch.62,urn:cite:chron:archon.123,[C]oroibus,urn:cts:chronepig:chron.pm.hc:b.22,42
urn:cite:chron:pmarch.63,urn:cite:chron:archon.124,Euxenippus,urn:cts:chronepig:chron.pm.hc:b.23,41
urn:cite:chron:pmarch.64,urn:cite:chron:archon.125,Pherecles,urn:cts:chronepig:chron.pm.hc:b.24,40
urn:cite:chron:pmarch.65,urn:cite:chron:archon.126,Leostratus ,urn:cts:chronepig:chron.pm.hc:b.25,39
urn:cite:chron:pmarch.66,urn:cite:chron:archon.127,Nicocles,urn:cts:chronepig:chron.pm.hc:b.26,38
urn:cite:chron:pmarch.67,urn:cite:chron:archon.128,Euctemon,urn:cts:chronepig:chron.pm.hc:b.27,35
