Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-sicyonians.ruler1,Europs,1,"In Graecia vero secundus Sicyoniis imperavit Europs annis XLV. Cujus regni XXII anno natus est Abraham."
urn:cite:chron:j-sicyonians.ruler2,Telchin,2,"Sicyoniorum III, TELCHIN, annis XX."
urn:cite:chron:j-sicyonians.ruler3,Apis,3,"Sicyoniorum IV, APIS, annis XXV"
urn:cite:chron:j-sicyonians.ruler4,Thelxion,4,"Sicyoniorum V, THELXION, annis. LII."
urn:cite:chron:j-sicyonians.ruler5,Aegydrus,5,"Sicyoniorum VI, AEGYDRUS, annis XXXIV"
urn:cite:chron:j-sicyonians.ruler6,Thurimachus,6,"Sicyoniorum VII, THURIMACHUS, annis XLV"
urn:cite:chron:j-sicyonians.ruler7,Leucippus,7,"Sicyoniorum VIII, LEUCIPPUS annis LIII"
urn:cite:chron:j-sicyonians.ruler8,Messapus,8,"Sicyoniorum IX, MESSAPUS, annis XLVII."
urn:cite:chron:j-sicyonians.ruler9,Eratus,9,"Sicyoniorum X, ERATUS, annis XLVI."
urn:cite:chron:j-sicyonians.ruler10,Plemnaeus,10,"Sicyoniorum XI, PLEMNAEUS, annis XXXXVIII"
urn:cite:chron:j-sicyonians.ruler11,Orthopolis,11,"Sicyoniorum XII, ORTHOPOLIS annis LXIII"
urn:cite:chron:j-sicyonians.ruler12,Marathius,12,"Sicyoniorum XIII MARATHIUS annis XXX"
urn:cite:chron:j-sicyonians.ruler13,Marathus,13,"Sicyoniorum XIV. MARATHUS, annis XX"
urn:cite:chron:j-sicyonians.ruler14,Echyreus,14,"Sicyoniorum XV, ECHYREUS, annis LV"
urn:cite:chron:j-sicyonians.ruler15,Corax,15,"Sicyoniorum XVI, CORAX, annis XXX."
urn:cite:chron:j-sicyonians.ruler16,Epopeus,16,"Sicyoniorum XVII, EPOPEUS, annis XXXV."
urn:cite:chron:j-sicyonians.ruler17,Laomedon,17,"Sicyoniorum XVIII, LAOMEDON, (annis) XL."
urn:cite:chron:j-sicyonians.ruler18,Sicyon,18,"Sicyoniorum XIX, SICYON, annis XLV.a quo Sicyonii nuncupati sunt qui primo Aegialaei vocabantur."
urn:cite:chron:j-sicyonians.ruler19,Polybus,19,"Sicyoniorum XX, POLYBUS, annis XL."
urn:cite:chron:j-sicyonians.ruler20,Inachus,20,"Sicyoniorum XXI, INACHUS, annis XLII."
urn:cite:chron:j-sicyonians.ruler21,Phaestus,21,"Sicyoniorum XXII, PHAESTUS, annis VIII"
urn:cite:chron:j-sicyonians.ruler22,Adrastus,22,"Post quem XXIII, ADRASTUS, annis IV"
urn:cite:chron:j-sicyonians.ruler23,Polyphides,23,"Sicyoniorum XXIV, POLYPHIDES, annis XXXI."
urn:cite:chron:j-sicyonians.ruler24,(Success to POLYPHIDES?),24,""
urn:cite:chron:j-sicyonians.ruler25,Zeusippus,25,"Post quem, XXVI, ZEUSIPPUS, annis XXXI."
