Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-assyrians.ruler1,Ninus,1,"Primus omni Asiae, exceptis Indis, Ninus Beli filius regnavit annis LII. Hujus Nini XLIII anno imperii sui natus est Abraham."
urn:cite:chron:j-assyrians.ruler2,Semiramis,2,"Assyriorum II, SEMIRAMIS, regnavit annis 42"
urn:cite:chron:j-assyrians.ruler3,Zameis,3,"Assyriorum III, ZAMEIS, qui et Ninyas, filius Nini et Semiramidis, annis XXXVIII."
urn:cite:chron:j-assyrians.ruler4,Arius,4,"Assyriorum IV, ARIUS, XXX annis"
urn:cite:chron:j-assyrians.ruler5,Aralius,5,"Assyriorum V, ARALIUS, annis XL"
urn:cite:chron:j-assyrians.ruler6,Xerxes (Balaneus),6,"Assyriorum VI, XERXES, qui et Balaneus, annis XXX."
urn:cite:chron:j-assyrians.ruler7,Armamitres,7,"Assyriorum VII, ARMAMITRES annis. XXXVIII."
urn:cite:chron:j-assyrians.ruler8,Belocus,8,"Assyriorum VIII, BELOCUS annis XXXV."
urn:cite:chron:j-assyrians.ruler9,Baleus,9,"Assyriorum IX, BALEUS annis LII."
urn:cite:chron:j-assyrians.ruler10,Altadas,10,"Assyriorum X, ALTADAS, annis XXXII."
urn:cite:chron:j-assyrians.ruler11,Mamythus,11,"Assyriorum XI, MAMYTHUS, annis XXX"
urn:cite:chron:j-assyrians.ruler12,Machaleus,12,"Assyriorum XII, MACHALEUS, annis 30"
urn:cite:chron:j-assyrians.ruler13,Sphaerus,13,"Assyriorum XIII, SPHAERUS, annis XX"
urn:cite:chron:j-assyrians.ruler14,Mamylus,14,"Assyriorum XIV, MAMYLUS annis XXX."
urn:cite:chron:j-assyrians.ruler15,Sparetus,15,"Assyriorum XV SPARETUS annis XL"
urn:cite:chron:j-assyrians.ruler16,Ascatrades,16,"Assyriorum XVI, ASCATADES, annis XL"
urn:cite:chron:j-assyrians.ruler17,Amyntas,17,"Assyriorum XVII, AMYNTAS, annis XLV."
urn:cite:chron:j-assyrians.ruler18,Belochus,18,"Assyriorum XVIII, BELOCHUS, annis XXV."
urn:cite:chron:j-assyrians.ruler19,Bellepares,19,"Assyriorum XIX, BELLEPARES, annis XXX."
urn:cite:chron:j-assyrians.ruler20,Lamprides,20,"Assyriorum XX, LAMPRIDES, annis XXXII."
urn:cite:chron:j-assyrians.ruler21,Sosares,21,"Assyriorum XXI, SOSARES, annis XX."
urn:cite:chron:j-assyrians.ruler22,Lampares,22,"Assyriorum XXII, LAMPARES, annis XXX"
urn:cite:chron:j-assyrians.ruler23,Pannyas,23,"Assyriorum XXIII, PANNYAS, annis XLV."
urn:cite:chron:j-assyrians.ruler24,Sosarmus,24,"Assyriorum XXIV, SOSARMUS, annis XIX."
urn:cite:chron:j-assyrians.ruler25,Mithraeus,25,"Assyriorum XXV, MITHRAEUS, annis XXVII."
urn:cite:chron:j-assyrians.ruler26,Tautanes,26,"Assyriorum XXVI, TAUTANES, annis XXXII."
urn:cite:chron:j-assyrians.ruler27,Tateus,27,"Assyriorum XXVII, TAUTEUS, annis XL."
urn:cite:chron:j-assyrians.ruler28,Thinaeus,28,"Assyriorum XXVIII, THINAEUS, annis XXX."
urn:cite:chron:j-assyrians.ruler29,Dercylus,29,"Assyriorum XXIX, DERCYLUS, annis XL."
urn:cite:chron:j-assyrians.ruler30,Eupales,30,"Assyriorum XXX, EUPALES, annis XXXVIII."
urn:cite:chron:j-assyrians.ruler31,Laosthenes,31,"Assyriorum XXXI, LAOSTHENES, annis XLV."
urn:cite:chron:j-assyrians.ruler32,Piritiades,32,"Assyriorum XXXII, PIRITIADES, annis XXX."
urn:cite:chron:j-assyrians.ruler33,Ophratheus,33,"Assyriorum XXXIII, OPHRATHEUS, annis XX 1"
urn:cite:chron:j-assyrians.ruler34,Ophratanes,34,"Assyriorum XXXIV, OPHRATANES, annis L."
urn:cite:chron:j-assyrians.ruler35,Acrazapes,35,"Assyriorum XXXV, ACRAZAPES, annis XLII"
urn:cite:chron:j-assyrians.ruler36,Sardanapalus,36,"Assyriorum XXXVI, THONOS CONCOLEROS, qui vocabatur Graece Sardanapalus, annis XX."
