Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-lydians.ruler1,Ardisius,1,"Lydorum primus rex, ARDISUS filius Alyattis, annis XXXVI."
urn:cite:chron:j-lydians.ruler2,Alyattes,2,"Lydorum II, ALYATTES, annis XIV"
urn:cite:chron:j-lydians.ruler3,Meles,3,"Lydorum III, MELES, annis XII."
urn:cite:chron:j-lydians.ruler4,Candaules,4,"Lydorum IV, CANDAULES, annis XVII."
urn:cite:chron:j-lydians.ruler5,Gyges,5,"Post quem GYGES, annis XXXV"
urn:cite:chron:j-lydians.ruler6,Ardys,6,"Lydorum VI, ARDYS, annis XXXVII."
urn:cite:chron:j-lydians.ruler7,Sadyattes,7,"Lydorum VII, SADYATTES, annis XV."
urn:cite:chron:j-lydians.ruler8,Alyattes,8,"Lydorum VIII, ALYATTES, annis IL."
urn:cite:chron:j-lydians.ruler9,Croesus,9,"Lydorum IX, CROESUS, annis XV."
