Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-macedonians.ruler1,Caranus,1,"Macedonum primus rex CARANUS, annis XXVIII."
urn:cite:chron:j-macedonians.ruler2,Coenus,2,"Macedonum II, COENUS, annis XII."
urn:cite:chron:j-macedonians.ruler3,Tyrimas,3,"Macedonum III, TYRIMAS, annis XXXVIII."
urn:cite:chron:j-macedonians.ruler4,Perdiccas,4,"Macedonum IV, PERDICA, annis LI."
urn:cite:chron:j-macedonians.ruler5,Argaeus,5,"Macedonum V, ARGAEUS, annis XXXVIII."
urn:cite:chron:j-macedonians.ruler6,Philip,6,"Macedonum VI, PHILIPPUS, annis XXXVIII."
urn:cite:chron:j-macedonians.ruler7,Europus,7,"Macedonum VII, EUROPUS, annis XXVI."
urn:cite:chron:j-macedonians.ruler8,Alcetas,8,"Macedonum VIII, ALCETAS, annis XXIX."
urn:cite:chron:j-macedonians.ruler9,Amyntas,9,"Macedonum IX, AMYNTAS, annis L."
urn:cite:chron:j-macedonians.ruler10,Alexander,10,"Macedonum X, ALEXANDER, annis XLIII"
urn:cite:chron:j-macedonians.ruler11,Perdiccas,11,"Of the Macedonum, Perdiccas, for 28 years."
urn:cite:chron:j-macedonians.ruler12,Archelaus,12,"Macedonum XII, ARCHELAUS annis XXIV."
urn:cite:chron:j-macedonians.ruler13,Archelaus,13,"Macedonum XIII, ARCHELAUS, annis IV."
urn:cite:chron:j-macedonians.ruler14,Amyntas,14,"Macedonum XIV, AMYNTAS, anno I."
urn:cite:chron:j-macedonians.ruler15,Pausanias,15,"Post quem PAUSANIAS, anno I."
urn:cite:chron:j-macedonians.ruler16,Amyntas,16,"Post quem, AMYNTAS, annis VI."
urn:cite:chron:j-macedonians.ruler17,Argeus,17,"Post quem, ARGEUS, annis II."
urn:cite:chron:j-macedonians.ruler18,Amyntas,18,"Post quem rursum AMYNTAS, annis XVIII."
urn:cite:chron:j-macedonians.ruler19,Alexander,19,"Macedonum ALEXANDER, anno I."
urn:cite:chron:j-macedonians.ruler20,Philip,20,"Post quem Macedonum, PHILIPPUS, annis XXVII."
urn:cite:chron:j-macedonians.ruler21,Alexander,21,"Alexander regnum Asiae anno regni sui VII occupat, et tenet omnia annis XII."
urn:cite:chron:j-macedonians.ruler22,Philip Arrhidaeus,22,"Macedonibus regnavit PHILIPPUS, qui et Aridaeus, frater Alexandri, annis VII."
urn:cite:chron:j-macedonians.ruler23,Cassander,23,"Macedonum CASSANDER, annis XIX."
urn:cite:chron:j-macedonians.ruler24,Anigonus and Alexander,24,"Macedonum filii Cassandri, annis IV, ANTIGONUS et ALEXANDER."
urn:cite:chron:j-macedonians.ruler25,Lysimachus,25,"Post quem, LYSIMACHUS, annis V."
urn:cite:chron:j-macedonians.ruler26,Ptolemy the Thunderbolt,26,"Macedonum PTOLEMAEUS, cognomento ΚΕΡΑΥΝΟΣ."
urn:cite:chron:j-macedonians.ruler27,Meleager,27,"MELEAGRUS, menses II. ANTIPATER, dies XLV. Post quem SOSTHENES annis II."
urn:cite:chron:j-macedonians.ruler28,Antigonus Gonatas,28,"ANTIGONUS GONATAS, annis XXXVI."
urn:cite:chron:j-macedonians.ruler29,Demetrius,29,"Macedonum DEMETRIUS, annis X."
urn:cite:chron:j-macedonians.ruler30,Antigonus,30,"Macedonum ANTIGONUS, annis 15."
urn:cite:chron:j-macedonians.ruler31,Philip,31,"Macedonum PHILIPPUS, annis XLII"
urn:cite:chron:j-macedonians.ruler32,Perseus,32,"Macedonum PERSES, annis X."
