Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-mycenaeans.ruler1,Eurystheus,1,"In Mycenas ab arcis imperio translato post Acrisium regnavit Eurystheus filius Stheneli, annis XLV."
urn:cite:chron:j-mycenaeans.ruler2,Atreus and Thyestes,2,"Mycenarum, ATREUS et Thyestes, annis LXV."
urn:cite:chron:j-mycenaeans.ruler3,Agamemnon,3,"Mycenarum, AGAMEMNON, annis XXXV."
