Source,Event,Relation,SyncType,SyncedWith,Amount
urn:cts:chronepig:chron.dog:x.34.5,urn:cite:chron:event.1,precedes,epoch,urn:cite:chron:epoch.dog.x,uncertain
urn:cts:chronepig:chron.dog:x.34.5,urn:cite:chron:event.1,contemporary,event,urn:cite:chron:event.2,0
urn:cts:chronepig:chron.dog:i.19.6,urn:cite:chron:event.3,precedes,epoch,urn:cite:chron:epoch.dog.i,uncertain
?,urn:cite:chron:event.3,follows,eponym,urn:cite:chron:archon.?,uncertain
urn:cts:chronepig:chron.vii.20.6,urn:cite:chron:epoch.dog.i,precedes,epoch,urn:cite:chron:epoch.dog.vii,uncertain
urn:cts:chronepig:chron.dog:x.34.5,urn:city:chron:event.4,precedes,event,urn:cite:chron:event.2,939
