evidence,source,synchronization,synctype,target,units
urn:cts:latinLit:stoa0162.stoa005:22.t1.85.2:urn:cite:chron:demo.chryseleph,contemporary,eponmymous,urn:cite:chron:j-persians_ruler5.26,0
urn:cts:latinLit:stoa0162.stoa005:22.t1.87.1:urn:cite:chron:demo.pelopwar,contemporary,eponmymous,urn:cite:chron:j-persians_ruler5.33,0
urn:cts:greekLit:tlg0003.tlg001:2.2,urn:cite:chron:demo.pelopwar,contemporary,eponym,urn:cite:chron:archon.40,0
urn:cite:chron:archon,urn:cite:chron:archon.40,follows,eponym,urn:cite:chron:archon.72,1
urn:cts;greekLit:tlg0363.001:3.1,urn:cite:chron:archon.72,contemporary,event,urn:cite:chron:pedersen.8,0
