Assyriorum XXXIV, OPHRATANES, annis L.	urn:cite:chron:j-assyrians_ruler34
Assyriorum XXXV, ACRAZAPES, annis XLII	urn:cite:chron:j-assyrians_ruler35
Assyriorum XXXVI, THONOS CONCOLEROS, qui vocabatur Graece Sardanapalus, annis XX.	urn:cite:chron:j-assyrians_ruler36
His temporibus in Acta, quae nunc Attica nuncupatur, primus regnavit CECROPS, qui et DIPHYES, an. L.	urn:cite:chron:j-athenians_ruler1
Atheniensium II, CRANAUS, annis IX.	urn:cite:chron:j-athenians_ruler2
Atheniensium III, AMPHICTYON, annis X	urn:cite:chron:j-athenians_ruler3
Atheniensium IV, ERICHTHONIUS, annis L.	urn:cite:chron:j-athenians_ruler4
Atheniensium V, PANDION, annis XL.	urn:cite:chron:j-athenians_ruler5
Atheniensium VI, ERICHTHEUS, annis L.	urn:cite:chron:j-athenians_ruler6
Atheniensium VII, CECROPS secundus, annis XL.	urn:cite:chron:j-athenians_ruler7
Atheniensium VIII, PANDION, annis XXV.	urn:cite:chron:j-athenians_ruler8
Atheniensium IX, AEGEUS, Pandionis filius, annis XLVIII.	urn:cite:chron:j-athenians_ruler9
Atheniensium X, THESEUS, annis XXX	urn:cite:chron:j-athenians_ruler10
Atheniensium XI, MENESTHEUS, [qui et] Peteo, annis XXIII.	urn:cite:chron:j-athenians_ruler11
Menestheus moritur in Melo regrediens a capta Troja, post quem Athenis regnavit Demophoon.	urn:cite:chron:j-athenians_ruler12
Atheniensium XIII, OXYNTES, annis XII.	urn:cite:chron:j-athenians_ruler13
Post quem XIV, APHIDAS, anno I.	urn:cite:chron:j-athenians_ruler14
Post quem XV, THYMOETES, annis VIII.	urn:cite:chron:j-athenians_ruler15
Post quem XVI, MELANTHUS, annis XXXVII.	urn:cite:chron:j-athenians_ruler16
Atheniensium XVII, CODRUS Melanthi filius, annis XXI.	urn:cite:chron:j-athenians_ruler17
Post quem, principes, quos mors finiebat: quorum primus MEDON, Codri filius, annis XX	urn:cite:chron:j-athenians_ruler18
Atheniensium II, ACASTUS, annis XXXVI.	urn:cite:chron:j-athenians_ruler19
Atheniensium III, ARCHIPPUS, annis XIX.	urn:cite:chron:j-athenians_ruler20
Atheniensium IV, THERSIPPUS, annis XLI.	urn:cite:chron:j-athenians_ruler21
Atheniensium V, PHORBAS, annis XXXI	urn:cite:chron:j-athenians_ruler22
Atheniensium VI, MEGACLES, annis XXX.	urn:cite:chron:j-athenians_ruler23
Atheniensium VII, DIOGNETUS, annis XXVIII	urn:cite:chron:j-athenians_ruler24
Atheniensium VIII, PHERECLUS, annis XIX.	urn:cite:chron:j-athenians_ruler25
Atheniensium IX, ARIPHRON, annis XX.	urn:cite:chron:j-athenians_ruler26
Atheniensium X, THESPIEUS, annis XXVII.	urn:cite:chron:j-athenians_ruler27
Atheniensium XI, AGAMESTOR, annis XX.	urn:cite:chron:j-athenians_ruler28
Atheniensium XII, AESCHYLUS, annis XXIII.	urn:cite:chron:j-athenians_ruler29
Atheniensium XIII, ALCMAEON, annis II.	urn:cite:chron:j-athenians_ruler30
XIV Atheniensium, CHAROPS, annis X.	urn:cite:chron:j-athenians_ruler31
Atheniensium XV, AESIMEDES, annis X	urn:cite:chron:j-athenians_ruler32
Post quem CLIDICUS , annis X. Annus I.	urn:cite:chron:j-athenians_ruler33
Post quem, HIPPOMENES, annis X.	urn:cite:chron:j-athenians_ruler34
Atheniensium XVIII, LEOCRATES, annis X.	urn:cite:chron:j-athenians_ruler35
Post quem APSANDER, annis X.	urn:cite:chron:j-athenians_ruler36
Atheniensium XX, ERYXIAS, annis X.	urn:cite:chron:j-athenians_ruler37
Corinthi regnavit primus ALETHIS, annis XXXV.	urn:cite:chron:j-corinthians_ruler1
Corinthi II, IXION, annis XXXVII.	urn:cite:chron:j-corinthians_ruler2
Corinthiorum III, AGELAUS, annis XXXVII.	urn:cite:chron:j-corinthians_ruler3
Corinthiorum IV, PRYMINAS, annis XXXV.	urn:cite:chron:j-corinthians_ruler4
Corinthiorum V, BACCHIS, annis XXXV.	urn:cite:chron:j-corinthians_ruler5
Corinthiorum VI, AGELAS, annis XXX.	urn:cite:chron:j-corinthians_ruler6
Corinthiorum VII, EUDEMUS, annis XXV.	urn:cite:chron:j-corinthians_ruler7
Corinthiorum VIII, ARISTOMEDES, annis XXXV	urn:cite:chron:j-corinthians_ruler8
Corinthiorum IX, AGEMON, annis XVI.	urn:cite:chron:j-corinthians_ruler9
Corinthiorum X, ALEXANDER, annis XXV.	urn:cite:chron:j-corinthians_ruler10
Corinthiorum XI, TELESTES, annis XII.	urn:cite:chron:j-corinthians_ruler11
Post quem AUTOMENES , anno I.	urn:cite:chron:j-corinthians_ruler12
In Lacedaemone regnavit primus EURYSTHEUS, annis XLII.	urn:cite:chron:j-lacedaemonians_ruler1
Lacedaemoniorum II, AGIS, anno I.	urn:cite:chron:j-lacedaemonians_ruler2
Post quem, ECHESTRATUS, annis XXXV.	urn:cite:chron:j-lacedaemonians_ruler3
Lacedaemoniorum IV, LABOTES, annis XXXVII.	urn:cite:chron:j-lacedaemonians_ruler4
Lacedaemoniorum V, DORISTHUS, annis XXIX.	urn:cite:chron:j-lacedaemonians_ruler5
Lacedaemoniorum VI, AGESILAUS, annis XLIV	urn:cite:chron:j-lacedaemonians_ruler6
Lacedaemoniorum VII, ARCHELAUS, annis LX.	urn:cite:chron:j-lacedaemonians_ruler7
Lacedaemoniorum VIII, TELECLUS, annis XL.	urn:cite:chron:j-lacedaemonians_ruler8
Lacedaemoniorum, ALCAMENES, 1 annis XXXVII.	urn:cite:chron:j-lacedaemonians_ruler9
LATINIS, qui postea Romani nuncupati sunt, post tertium annum captivitatis Troiae, sive, ut quidam volunt, post VIII regnavit AENEAS, annis III.	urn:cite:chron:j-latins_ruler1
Post quem, II ASCANIUS, annis XXXVIII.	urn:cite:chron:j-latins_ruler2
Latinorum III, SYLVIUS Aeneae filius, annis XXIX.	urn:cite:chron:j-latins_ruler3
Latinorum IV, AENEAS SYLVIUS, annis XXXI.	urn:cite:chron:j-latins_ruler4
Latinorum V, LATINUS SYLVIUS, annis L.	urn:cite:chron:j-latins_ruler5
Latinorum VI, ALBA SYLVIUS, Sylvii Aeneae filius, annis XXXIX.	urn:cite:chron:j-latins_ruler6
Latinorum VII, AEGYPTUS SYLVIUS, annis XXIV.	urn:cite:chron:j-latins_ruler7
Latinorum VIII, CAPIS SYLVIUS, annis XXVIII.	urn:cite:chron:j-latins_ruler8
Latinorum IX, CARPENTUS SYLVIUS, annis XIII	urn:cite:chron:j-latins_ruler9
Post quem, TIBERINUS SYLVIUS, annis VIII.	urn:cite:chron:j-latins_ruler10
Latinorum XI, AGRIPPA SYLVIUS, annis XL.	urn:cite:chron:j-latins_ruler11
Latinorum XII, AREMULUS SYLVIUS, annis XIX.	urn:cite:chron:j-latins_ruler12
Latinorum XIII, AVENTINUS SYLVIUS, annis XXXVII.	urn:cite:chron:j-latins_ruler13
Latinorum XIV, PROCAS SYLVIUS, annis XXIII.	urn:cite:chron:j-latins_ruler14
Latinorum XV, AMULIUS SILVIUS, annis XLIV.	urn:cite:chron:j-latins_ruler15
ROMULUS Romanorum, annis XXXVIII	urn:cite:chron:j-latins_ruler16
Romanorum II, NUMA POMPILIUS, annis XLI.	urn:cite:chron:j-latins_ruler17
Romanorum III, TULLUS HOSTILIUS, annis XXXII.	urn:cite:chron:j-latins_ruler18
Romanorum IV, ANCUS MARTIUS, annis XXIII.	urn:cite:chron:j-latins_ruler19
Romanorum V, TARQUINIUS PRISCUS, annis XXXVII.	urn:cite:chron:j-latins_ruler20
Romanorum VI, SERVIUS, annis XXXIV.	urn:cite:chron:j-latins_ruler21
Romanorum VII, TARQUINIUS, annis XXXV	urn:cite:chron:j-latins_ruler22
Lydorum primus rex, ARDISUS filius Alyattis, annis XXXVI.	urn:cite:chron:j-lydians_ruler1
Lydorum II, ALYATTES, annis XIV	urn:cite:chron:j-lydians_ruler2
Lydorum III, MELES, annis XII.	urn:cite:chron:j-lydians_ruler3
Lydorum IV, CANDAULES, annis XVII.	urn:cite:chron:j-lydians_ruler4
Post quem GYGES, annis XXXV	urn:cite:chron:j-lydians_ruler5
Lydorum VI, ARDYS, annis XXXVII.	urn:cite:chron:j-lydians_ruler6
Lydorum VII, SADYATTES, annis XV.	urn:cite:chron:j-lydians_ruler7
Lydorum VIII, ALYATTES, annis IL.	urn:cite:chron:j-lydians_ruler8
Lydorum IX, CROESUS, annis XV.	urn:cite:chron:j-lydians_ruler9
Macedonum primus rex CARANUS, annis XXVIII.	urn:cite:chron:j-macedonians_ruler1
Macedonum II, COENUS, annis XII.	urn:cite:chron:j-macedonians_ruler2
Macedonum III, TYRIMAS, annis XXXVIII.	urn:cite:chron:j-macedonians_ruler3
Macedonum IV, PERDICA, annis LI.	urn:cite:chron:j-macedonians_ruler4
Macedonum V, ARGAEUS, annis XXXVIII.	urn:cite:chron:j-macedonians_ruler5
Macedonum VI, PHILIPPUS, annis XXXVIII.	urn:cite:chron:j-macedonians_ruler6
