urn:cite:chron:j-lacedaemonians.ruler7	Archelaus
urn:cite:chron:j-lacedaemonians.ruler8	Teleclus
urn:cite:chron:j-lacedaemonians.ruler9	Alcamenes
urn:cite:chron:j-latins.ruler1	Aeneas
urn:cite:chron:j-latins.ruler2	Ascanius
urn:cite:chron:j-latins.ruler3	Silvius
urn:cite:chron:j-latins.ruler4	Aeneas Silvius
urn:cite:chron:j-latins.ruler5	Latinus Silvius
urn:cite:chron:j-latins.ruler6	Alba Silvius
urn:cite:chron:j-latins.ruler7	Aegyptus Silvius
urn:cite:chron:j-latins.ruler8	Capis Silvius
urn:cite:chron:j-latins.ruler9	Carpentus Silvius
urn:cite:chron:j-latins.ruler10	Tiberinus Silvius
urn:cite:chron:j-latins.ruler11	Agrippa Silvius
urn:cite:chron:j-latins.ruler12	Aremulus Silvius
urn:cite:chron:j-latins.ruler13	Aventinus Silvius
urn:cite:chron:j-latins.ruler14	Procas Silvius
urn:cite:chron:j-latins.ruler15	Amulius Silvius
urn:cite:chron:j-latins.ruler16	Romulus
urn:cite:chron:j-latins.ruler17	Numa Pompilius
urn:cite:chron:j-latins.ruler18	Tullus Hostilius
urn:cite:chron:j-latins.ruler19	Ancus Martius
urn:cite:chron:j-latins.ruler20	Tarquinius Priscus
urn:cite:chron:j-latins.ruler21	Servius
urn:cite:chron:j-latins.ruler22	Tarquinius
urn:cite:chron:j-lydians.ruler1	Ardisius
urn:cite:chron:j-lydians.ruler2	Alyattes
urn:cite:chron:j-lydians.ruler3	Meles
urn:cite:chron:j-lydians.ruler4	Candaules
urn:cite:chron:j-lydians.ruler5	Gyges
urn:cite:chron:j-lydians.ruler6	Ardys
urn:cite:chron:j-lydians.ruler7	Sadyattes
urn:cite:chron:j-lydians.ruler8	Alyattes
urn:cite:chron:j-lydians.ruler9	Croesus
urn:cite:chron:j-macedonians.ruler1	Caranus
urn:cite:chron:j-macedonians.ruler2	Coenus
urn:cite:chron:j-macedonians.ruler3	Tyrimas
urn:cite:chron:j-macedonians.ruler4	Perdiccas
urn:cite:chron:j-macedonians.ruler5	Argaeus
urn:cite:chron:j-macedonians.ruler6	Philip
urn:cite:chron:j-macedonians.ruler7	Europus
urn:cite:chron:j-macedonians.ruler8	Alcetas
urn:cite:chron:j-macedonians.ruler9	Amyntas
urn:cite:chron:j-macedonians.ruler10	Alexander
urn:cite:chron:j-macedonians.ruler11	Perdiccas
urn:cite:chron:j-macedonians.ruler12	Archelaus
urn:cite:chron:j-macedonians.ruler13	Archelaus
urn:cite:chron:j-macedonians.ruler14	Amyntas
urn:cite:chron:j-macedonians.ruler15	Pausanias
urn:cite:chron:j-macedonians.ruler16	Amyntas
urn:cite:chron:j-macedonians.ruler17	Argeus
urn:cite:chron:j-macedonians.ruler18	Amyntas
urn:cite:chron:j-macedonians.ruler19	Alexander
urn:cite:chron:j-macedonians.ruler20	Philip
urn:cite:chron:j-macedonians.ruler21	Alexander
urn:cite:chron:j-macedonians.ruler22	Philip Arrhidaeus
urn:cite:chron:j-macedonians.ruler23	Cassander
urn:cite:chron:j-macedonians.ruler24	Anigonus and Alexander
urn:cite:chron:j-macedonians.ruler25	Lysimachus
urn:cite:chron:j-macedonians.ruler26	Ptolemy the Thunderbolt
urn:cite:chron:j-macedonians.ruler27	Meleager
urn:cite:chron:j-macedonians.ruler28	Antigonus Gonatas
urn:cite:chron:j-macedonians.ruler29	Demetrius
urn:cite:chron:j-macedonians.ruler30	Antigonus
urn:cite:chron:j-macedonians.ruler31	Philip
urn:cite:chron:j-macedonians.ruler32	Perseus
urn:cite:chron:j-medes.ruler1	Arbaces
urn:cite:chron:j-medes.ruler2	Sosarmus
urn:cite:chron:j-medes.ruler3	Medidus
urn:cite:chron:j-medes.ruler4	Cardiceas
urn:cite:chron:j-medes.ruler5	Diocles
urn:cite:chron:j-medes.ruler6	Phraortes
urn:cite:chron:j-medes.ruler7	Cyaxares
urn:cite:chron:j-medes.ruler8	Astyages
urn:cite:chron:j-mycenaeans.ruler1	Eurystheus
urn:cite:chron:j-mycenaeans.ruler2	Atreus and Thyestes
urn:cite:chron:j-mycenaeans.ruler3	Agamemnon
urn:cite:chron:j-persians.ruler1	Cyrus
urn:cite:chron:j-persians.ruler2	Cambyses
urn:cite:chron:j-persians.ruler3	Darius
urn:cite:chron:j-persians.ruler4	Xerxes
urn:cite:chron:j-persians.ruler5	Artaxerxes Longimanus
urn:cite:chron:j-persians.ruler6	Darius Nothus
urn:cite:chron:j-persians.ruler7	Artaxerxes Mnemon
urn:cite:chron:j-persians.ruler8	Artaxerxes Ochus
urn:cite:chron:j-persians.ruler9	Arses
urn:cite:chron:j-persians.ruler10	Darius
urn:cite:chron:j-romans.ruler1	Julius Caesar
urn:cite:chron:j-romans.ruler2	Augustus
urn:cite:chron:j-romans.ruler3	Tiberius
urn:cite:chron:j-romans.ruler4	Caligula
urn:cite:chron:j-romans.ruler5	Claudius
urn:cite:chron:j-romans.ruler6	Nero
urn:cite:chron:j-romans.ruler7	Vespasian
urn:cite:chron:j-romans.ruler8	Titus
urn:cite:chron:j-romans.ruler9	Domitian
urn:cite:chron:j-romans.ruler10	Nerva
urn:cite:chron:j-romans.ruler11	Trajan
urn:cite:chron:j-romans.ruler12	Hadrian
urn:cite:chron:j-romans.ruler13	Antoninus Pius
urn:cite:chron:j-romans.ruler14	Verus and Commodus
urn:cite:chron:j-romans.ruler15	Commodus
urn:cite:chron:j-romans.ruler16	Pertinax
urn:cite:chron:j-romans.ruler17	Septimius Severus
urn:cite:chron:j-romans.ruler18	Caracalla
urn:cite:chron:j-romans.ruler19	Macrinus
urn:cite:chron:j-romans.ruler20	Antoninus
urn:cite:chron:j-romans.ruler21	Alexander
urn:cite:chron:j-romans.ruler22	Maximinus
urn:cite:chron:j-romans.ruler23	Gordian
urn:cite:chron:j-romans.ruler24	Philip the Arab
urn:cite:chron:j-romans.ruler25	Decius
urn:cite:chron:j-romans.ruler26	Gallus and Volusian
urn:cite:chron:j-romans.ruler27	Valerian and Gallienus
urn:cite:chron:j-romans.ruler28	Claudius Gothicus
urn:cite:chron:j-romans.ruler29	Aurelian
urn:cite:chron:j-romans.ruler30	Tacitus
urn:cite:chron:j-romans.ruler31	Probus
urn:cite:chron:j-romans.ruler32	Carus
urn:cite:chron:j-sicyonians.ruler1	Europs
urn:cite:chron:j-sicyonians.ruler2	Telchin
urn:cite:chron:j-sicyonians.ruler3	Apis
urn:cite:chron:j-sicyonians.ruler4	Thelxion
urn:cite:chron:j-sicyonians.ruler5	Aegydrus
urn:cite:chron:j-sicyonians.ruler6	Thurimachus
urn:cite:chron:j-sicyonians.ruler7	Leucippus
urn:cite:chron:j-sicyonians.ruler8	Messapus
urn:cite:chron:j-sicyonians.ruler9	Eratus
urn:cite:chron:j-sicyonians.ruler10	Plemnaeus
urn:cite:chron:j-sicyonians.ruler11	Orthopolis
urn:cite:chron:j-sicyonians.ruler12	Marathius
urn:cite:chron:j-sicyonians.ruler13	Marathus
urn:cite:chron:j-sicyonians.ruler14	Echyreus
urn:cite:chron:j-sicyonians.ruler15	Corax
urn:cite:chron:j-sicyonians.ruler16	Epopeus
urn:cite:chron:j-sicyonians.ruler17	Laomedon
urn:cite:chron:j-sicyonians.ruler18	Sicyon
urn:cite:chron:j-sicyonians.ruler19	Polybus
urn:cite:chron:j-sicyonians.ruler20	Inachus
urn:cite:chron:j-sicyonians.ruler21	Phaestus
urn:cite:chron:j-sicyonians.ruler22	Adrastus
urn:cite:chron:j-sicyonians.ruler23	Polyphides
urn:cite:chron:j-sicyonians.ruler24	(Success to POLYPHIDES?)
urn:cite:chron:j-sicyonians.ruler25	Zeusippus
urn:cite:chron:j-syria-asia.ruler1	Antigonus
urn:cite:chron:j-syria-asia.ruler2	Seleucus Nicanor
urn:cite:chron:j-syria-asia.ruler3	Demetrius Poliorcetes
urn:cite:chron:j-syria-asia.ruler4	Antiochus Soter
urn:cite:chron:j-syria-asia.ruler5	Antiochus Theos
urn:cite:chron:j-syria-asia.ruler6	Seleucus Callinicus
urn:cite:chron:j-syria-asia.ruler7	Selecus the Thunderbolt
urn:cite:chron:j-syria-asia.ruler8	Antiochus the Great
urn:cite:chron:j-syria-asia.ruler9	Seleucus Philopator
urn:cite:chron:j-syria-asia.ruler10	Antiochus Eupator
urn:cite:chron:j-syria-asia.ruler11	Demetrius Soter
urn:cite:chron:j-syria-asia.ruler12	Alexander
urn:cite:chron:j-syria-asia.ruler13	Demetrius
urn:cite:chron:j-syria-asia.ruler14	Antiochus Sidetes
urn:cite:chron:j-syria-asia.ruler15	Demetrius (again)
urn:cite:chron:j-syria-asia.ruler16	Antiochus Grypus
urn:cite:chron:j-syria-asia.ruler17	Antiochus of Cyzicus
urn:cite:chron:j-syria-asia.ruler18	Philip
