Record,Pedersen
urn:cite:chron:almking.40,urn:cite:chron:pedersen.26
urn:cite:chron:almking.41,urn:cite:chron:pedersen.50
urn:cite:chron:almking.42,urn:cite:chron:pedersen.54
urn:cite:chron:almking.43,urn:cite:chron:pedersen.64
urn:cite:chron:almking.44,urn:cite:chron:pedersen.81
urn:cite:chron:almking.45,urn:cite:chron:pedersen.4
urn:cite:chron:almking.46,urn:cite:chron:pedersen.12
urn:cite:chron:almking.47,urn:cite:chron:pedersen.19
urn:cite:chron:almking.48,urn:cite:chron:pedersen.23
urn:cite:chron:almking.49,urn:cite:chron:pedersen.26
urn:cite:chron:almking.50,urn:cite:chron:pedersen.51
urn:cite:chron:almking.51,urn:cite:chron:pedersen.56
urn:cite:chron:almking.52,urn:cite:chron:pedersen.66
urn:cite:chron:almking.53,urn:cite:chron:pedersen.76
urn:cite:chron:almking.54,urn:cite:chron:pedersen.85
urn:cite:chron:almking.55,urn:cite:chron:pedersen.91
urn:cite:chron:almking.56,urn:cite:chron:pedersen.4
urn:cite:chron:almking.58,urn:cite:chron:pedersen.12
urn:cite:chron:almking.59,urn:cite:chron:pedersen.20
urn:cite:chron:almking.60,urn:cite:chron:pedersen.23
urn:cite:chron:almking.61,urn:cite:chron:pedersen.27
urn:cite:chron:almking.62,urn:cite:chron:pedersen.51
urn:cite:chron:almking.63,urn:cite:chron:pedersen.57
urn:cite:chron:almking.64,urn:cite:chron:pedersen.67
urn:cite:chron:almking.65,urn:cite:chron:pedersen.74
urn:cite:chron:almking.66,urn:cite:chron:pedersen.83
urn:cite:chron:almking.67,urn:cite:chron:pedersen.88
urn:cite:chron:almking.68,urn:cite:chron:pedersen.5
urn:cite:chron:almking.69,urn:cite:chron:pedersen.13
urn:cite:chron:almking.70,urn:cite:chron:pedersen.17
urn:cite:chron:almking.71,urn:cite:chron:pedersen.20
urn:cite:chron:almking.72,urn:cite:chron:pedersen.24
urn:cite:chron:almking.73,urn:cite:chron:pedersen.27
urn:cite:chron:almking.74,urn:cite:chron:pedersen.49
urn:cite:chron:almking.75,urn:cite:chron:pedersen.61
urn:cite:chron:almking.76,urn:cite:chron:pedersen.71
urn:cite:chron:almking.77,urn:cite:chron:pedersen.72
urn:cite:chron:almking.78,urn:cite:chron:pedersen.82
urn:cite:chron:almking.79,urn:cite:chron:pedersen.86

urn:cite:chron:almking.80,urn:cite:chron:pedersen.5
urn:cite:chron:almking.81,urn:cite:chron:pedersen.14
urn:cite:chron:almking.82,urn:cite:chron:pedersen.18
urn:cite:chron:almking.83,urn:cite:chron:pedersen.21
urn:cite:chron:almking.84,urn:cite:chron:pedersen.24
