Event,Label
urn:cite:chron:cieremans.1,Rebuilding of Stadium at Athens by Herodes Atticus
urn:cite:chron:cieremans.2,Construction of Sanctuary of Aesculapius at Epidaurus 
urn:cite:chron:cieremans.3,Reign of Herodes Atticus
urn:cite:chron:cieremans.4,Restoration of Corinth
urn:cite:chron:cieremans.5,Outbreak of the War w/ German Tribes
urn:cite:chron:cieremans.6,Victory of Marcus Antoninus over Germans
urn:cite:chron:cieremans.7,Inroad of the Costobocs
urn:cite:chron:cieremans.8,Death of Hadrian
