Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-corinthians.ruler1,Alethis,1,"Corinthi regnavit primus ALETHIS, annis XXXV."
urn:cite:chron:j-corinthians.ruler2,Ixion,2,"Corinthi II, IXION, annis XXXVII."
urn:cite:chron:j-corinthians.ruler3,Agelaus,3,"Corinthiorum III, AGELAUS, annis XXXVII."
urn:cite:chron:j-corinthians.ruler4,Pryminas,4,"Corinthiorum IV, PRYMINAS, annis XXXV."
urn:cite:chron:j-corinthians.ruler5,Bacchis,5,"Corinthiorum V, BACCHIS, annis XXXV."
urn:cite:chron:j-corinthians.ruler6,Agelas,6,"Corinthiorum VI, AGELAS, annis XXX."
urn:cite:chron:j-corinthians.ruler7,Eudemus,7,"Corinthiorum VII, EUDEMUS, annis XXV."
urn:cite:chron:j-corinthians.ruler8,Aristomedes,8,"Corinthiorum VIII, ARISTOMEDES, annis XXXV"
urn:cite:chron:j-corinthians.ruler9,Agemon,9,"Corinthiorum IX, AGEMON, annis XVI."
urn:cite:chron:j-corinthians.ruler10,Alexander,10,"Corinthiorum X, ALEXANDER, annis XXV."
urn:cite:chron:j-corinthians.ruler11,Telestes,11,"Corinthiorum XI, TELESTES, annis XII."
urn:cite:chron:j-corinthians.ruler12,Automenes,12,"Post quem AUTOMENES , anno I."
