Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-lacedaemonians.ruler1,Eurystheus,1,"In Lacedaemone regnavit primus EURYSTHEUS, annis XLII."
urn:cite:chron:j-lacedaemonians.ruler2,Agis,2,"Lacedaemoniorum II, AGIS, anno I."
urn:cite:chron:j-lacedaemonians.ruler3,Echestratus,3,"Post quem, ECHESTRATUS, annis XXXV."
urn:cite:chron:j-lacedaemonians.ruler4,Labotes,4,"Lacedaemoniorum IV, LABOTES, annis XXXVII."
urn:cite:chron:j-lacedaemonians.ruler5,Doristhus,5,"Lacedaemoniorum V, DORISTHUS, annis XXIX."
urn:cite:chron:j-lacedaemonians.ruler6,Agesilaus,6,"Lacedaemoniorum VI, AGESILAUS, annis XLIV"
urn:cite:chron:j-lacedaemonians.ruler7,Archelaus,7,"Lacedaemoniorum VII, ARCHELAUS, annis LX."
urn:cite:chron:j-lacedaemonians.ruler8,Teleclus,8,"Lacedaemoniorum VIII, TELECLUS, annis XL."
urn:cite:chron:j-lacedaemonians.ruler9,Alcamenes,9,"Lacedaemoniorum, ALCAMENES, 1 annis XXXVII."
