Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-romans.ruler1,Julius Caesar,1,"Romanorum primus, C. JULIUS CAESAR, annis IV, menses VII"
urn:cite:chron:j-romans.ruler2,Augustus,2,"Romanorum II, regnavit OCTAVIANUS CAESAR Augustus, annis LVI, menses VI (A quo 'Augusti' Romanorum reges appellati)"
urn:cite:chron:j-romans.ruler3,Tiberius,3,"Romanorum III, TIBERIUS regnavit annis XXIII"
urn:cite:chron:j-romans.ruler4,Caligula,4,"Romanorum IV, GAIUS CALIGULA, regnavit annis III, menses X."
urn:cite:chron:j-romans.ruler5,Claudius,5,"Romanorum V, CLAUDIUS, regnavit annis XIII, mensibus VIII, diebus XXVIII."
urn:cite:chron:j-romans.ruler6,Nero,6,"Romanorum VI, NERO regnavit annis XIII, mensibus VII, diebus XXVIII."
urn:cite:chron:j-romans.ruler7,Vespasian,7,"Romanorum VII, VESPASIANUS regnavit annis IX, mensibus XI, diebus XXII."
urn:cite:chron:j-romans.ruler8,Titus,8,"Romanorum VIII, TITUS, regnavit annis II, mensibus II."
urn:cite:chron:j-romans.ruler9,Domitian,9,"Romanorum IX, DOMITIANUS, regnavit annis XV, mensibus V."
urn:cite:chron:j-romans.ruler10,Nerva,10,"Romanorum X, NERVA, regnavit anno uno, mensibus IV."
urn:cite:chron:j-romans.ruler11,Trajan,11,"Romanorum XI, TRAJANUS, regnavit annis XIX, mensibus VI."
urn:cite:chron:j-romans.ruler12,Hadrian,12,"Romanorum XII, HADRIANUS, regnavit annis XXI"
urn:cite:chron:j-romans.ruler13,Antoninus Pius,13,"Romanorum XIII, T. ANTONINUS, cognomento Pius, cum liberis suis Aurelio et Lucio regnavit, annis XXII, mensibus III."
urn:cite:chron:j-romans.ruler14,Verus and Commodus,14,"Romanorum XIV, MARCUS ANTONINUS, qui et VERUS, regnavit; et L. AURELIUS COMMODUS, annis XIX, mense uno."
urn:cite:chron:j-romans.ruler15,Commodus,15,"Romanorum XV, COMMODUS, regnavit annis XIII."
urn:cite:chron:j-romans.ruler16,Pertinax,16,"Romanorum XVI, AELIUS PERTINAX, regnavit mensibus VI."
urn:cite:chron:j-romans.ruler17,Septimius Severus,17,"Romanorum XVII, SEVERUS, regnavit annis XVIII."
urn:cite:chron:j-romans.ruler18,Caracalla,18,"Romanorum XVIII, ANTONINUS cognomento CARACALLA, Severi filius, regnavit annis VII."
urn:cite:chron:j-romans.ruler19,Macrinus,19,"Romanorum XIX, MACRINUS, regnavit anno uno."
urn:cite:chron:j-romans.ruler20,Antoninus,20,"Romanorum XX, MARCUS AURELIUS ANTONINUS, regnavit annis IV."
urn:cite:chron:j-romans.ruler21,Alexander,21,"Romanorum XXI, ALEXANDER, Mamaeae filius, regnavit annis XIII."
urn:cite:chron:j-romans.ruler22,Maximinus,22,"Romanorum XXII, MAXIMINUS, regnavit annis III."
urn:cite:chron:j-romans.ruler23,Gordian,23,"Romanorum XXIII, GORDIANUS 1, regnavit annis 6."
urn:cite:chron:j-romans.ruler24,Philip the Arab,24,"Romanorum XXIV, PHILIPPUS, regnavit annis VII."
urn:cite:chron:j-romans.ruler25,Decius,25,"Romanorum XXV, DECIUS, regnavit anno uno, mensibus III."
urn:cite:chron:j-romans.ruler26,Gallus and Volusian,26,"Romanorum XXVI, GALLUS et VOLUSIANUS Galli filius, regnaverunt annis II, mensibus IV."
urn:cite:chron:j-romans.ruler27,Valerian and Gallienus,27,"Romanorum XXVII, VALERIANUS et GALLIENUS, regnaverunt annis XV."
urn:cite:chron:j-romans.ruler28,Claudius Gothicus,28,"Romanorum XXVIII, CLAUDIUS, regnavit anno uno, mensibus IX."
urn:cite:chron:j-romans.ruler29,Aurelian,29,"Romanorum XXIX, AURELIANUS, regnavit annis V, mensibus VI."
urn:cite:chron:j-romans.ruler30,Tacitus,30,"Romanorum XXX, TACITUS, regnavit menses VI ."
urn:cite:chron:j-romans.ruler31,Probus,31,"Romanorum XXXI, PROBUS, regnavit annis VI, menses IV."
urn:cite:chron:j-romans.ruler32,Carus,32,"Romanorum XXXII, CARUS cum filiis CARINO et NUMERIANO, annis II."
