Ruler,Label,Sequence,JeromeLabel
urn:cite:chron:j-latins.ruler1,Aeneas,1,"LATINIS, qui postea Romani nuncupati sunt, post tertium annum captivitatis Troiae, sive, ut quidam volunt, post VIII regnavit AENEAS, annis III."
urn:cite:chron:j-latins.ruler2,Ascanius,2,"Post quem, II ASCANIUS, annis XXXVIII."
urn:cite:chron:j-latins.ruler3,Silvius,3,"Latinorum III, SYLVIUS Aeneae filius, annis XXIX."
urn:cite:chron:j-latins.ruler4,Aeneas Silvius,4,"Latinorum IV, AENEAS SYLVIUS, annis XXXI."
urn:cite:chron:j-latins.ruler5,Latinus Silvius,5,"Latinorum V, LATINUS SYLVIUS, annis L."
urn:cite:chron:j-latins.ruler6,Alba Silvius,6,"Latinorum VI, ALBA SYLVIUS, Sylvii Aeneae filius, annis XXXIX."
urn:cite:chron:j-latins.ruler7,Aegyptus Silvius,7,"Latinorum VII, AEGYPTUS SYLVIUS, annis XXIV."
urn:cite:chron:j-latins.ruler8,Capis Silvius,8,"Latinorum VIII, CAPIS SYLVIUS, annis XXVIII."
urn:cite:chron:j-latins.ruler9,Carpentus Silvius,9,"Latinorum IX, CARPENTUS SYLVIUS, annis XIII"
urn:cite:chron:j-latins.ruler10,Tiberinus Silvius,10,"Post quem, TIBERINUS SYLVIUS, annis VIII."
urn:cite:chron:j-latins.ruler11,Agrippa Silvius,11,"Latinorum XI, AGRIPPA SYLVIUS, annis XL."
urn:cite:chron:j-latins.ruler12,Aremulus Silvius,12,"Latinorum XII, AREMULUS SYLVIUS, annis XIX."
urn:cite:chron:j-latins.ruler13,Aventinus Silvius,13,"Latinorum XIII, AVENTINUS SYLVIUS, annis XXXVII."
urn:cite:chron:j-latins.ruler14,Procas Silvius,14,"Latinorum XIV, PROCAS SYLVIUS, annis XXIII."
urn:cite:chron:j-latins.ruler15,Amulius Silvius,15,"Latinorum XV, AMULIUS SILVIUS, annis XLIV."
urn:cite:chron:j-latins.ruler16,Romulus,16,"ROMULUS Romanorum, annis XXXVIII"
urn:cite:chron:j-latins.ruler17,Numa Pompilius,17,"Romanorum II, NUMA POMPILIUS, annis XLI."
urn:cite:chron:j-latins.ruler18,Tullus Hostilius,18,"Romanorum III, TULLUS HOSTILIUS, annis XXXII."
urn:cite:chron:j-latins.ruler19,Ancus Martius,19,"Romanorum IV, ANCUS MARTIUS, annis XXIII."
urn:cite:chron:j-latins.ruler20,Tarquinius Priscus,20,"Romanorum V, TARQUINIUS PRISCUS, annis XXXVII."
urn:cite:chron:j-latins.ruler21,Servius,21,"Romanorum VI, SERVIUS, annis XXXIV."
urn:cite:chron:j-latins.ruler22,Tarquinius,22,"Romanorum VII, TARQUINIUS, annis XXXV"
