Record,Ruler
urn:cite:chron:acephalus.95,urn:cite:chron:romans.ruler93
urn:cite:chron:acephalus.96,urn:cite:chron:romans.ruler94
urn:cite:chron:acephalus.97,urn:cite:chron:romans.ruler95
urn:cite:chron:acephalus.98,urn:cite:chron:romans.ruler96
urn:cite:chron:acephalus.99,urn:cite:chron:romans.ruler97
urn:cite:chron:acephalus.100,urn:cite:chron:romans.ruler98
urn:cite:chron:acephalus.101,urn:cite:chron:romans.ruler99
urn:cite:chron:acephalus.102,urn:cite:chron:romans.ruler100
urn:cite:chron:acephalus.103,urn:cite:chron:romans.ruler101
urn:cite:chron:acephalus.104,urn:cite:chron:romans.ruler101
urn:cite:chron:acephalus.105,urn:cite:chron:romans.ruler102
urn:cite:chron:acephalus.106,urn:cite:chron:romans.ruler103
urn:cite:chron:acephalus.107,urn:cite:chron:romans.ruler104
urn:cite:chron:acephalus.108,urn:cite:chron:romans.ruler105
urn:cite:chron:acephalus.109,urn:cite:chron:romans.ruler106
urn:cite:chron:acephalus.110,urn:cite:chron:romans.ruler107
urn:cite:chron:acephalus.111,urn:cite:chron:romans.ruler108
urn:cite:chron:acephalus.112,urn:cite:chron:romans.ruler109
urn:cite:chron:acephalus.113,urn:cite:chron:romans.ruler110
urn:cite:chron:acephalus.114,urn:cite:chron:romans.ruler111
urn:cite:chron:acephalus.115,urn:cite:chron:romans.ruler112
urn:cite:chron:acephalus.116,urn:cite:chron:romans.ruler113
urn:cite:chron:acephalus.117,urn:cite:chron:romans.ruler114
urn:cite:chron:acephalus.118,urn:cite:chron:romans.ruler115
urn:cite:chron:acephalus.119,urn:cite:chron:romans.ruler116
urn:cite:chron:acephalus.120,urn:cite:chron:romans.ruler117
urn:cite:chron:acephalus.121,urn:cite:chron:romans.ruler118
urn:cite:chron:acephalus.122,urn:cite:chron:romans.ruler119
urn:cite:chron:acephalus.123,urn:cite:chron:romans.ruler120
